source_state,target_state,count,row_normalized_probability
BCC,BCC,12003307,0.8978245272535844
BCC,FCC_like,918032,0.06866704703992513
BCC,OMEGA,49778,0.0037232996971275434
BCC,TB,65291,0.004883642583574158
BCC,OMEGA_TB,30004,0.0022442421172528993
BCC,OTHER,302912,0.02265724130853587
BCC,TWIN,0,0.0
BCC,OMEGA_TWIN,0,0.0
FCC_like,BCC,836870,0.30370365531647425
FCC_like,FCC_like,1700959,0.6172852006207113
FCC_like,OMEGA,6518,0.0023654097116072737
FCC_like,TB,42268,0.015339235607581504
FCC_like,OMEGA_TB,11421,0.004144729106515292
FCC_like,OTHER,157512,0.057161769637110296
FCC_like,TWIN,0,0.0
FCC_like,OMEGA_TWIN,0,0.0
OMEGA,BCC,52730,0.5963448010676076
OMEGA,FCC_like,3248,0.036732939766121554
OMEGA,OMEGA,9104,0.10296080161045894
OMEGA,TB,5356,0.060573160525661036
OMEGA,OMEGA_TB,6395,0.07232362986587049
OMEGA,OTHER,11589,0.1310646671642804
OMEGA,TWIN,0,0.0
OMEGA,OMEGA_TWIN,0,0.0
TB,BCC,62028,0.2307821098101372
TB,FCC_like,15542,0.05782574886614355
TB,OMEGA,6106,0.022718055757088695
TB,TB,89213,0.33192694206635337
TB,OMEGA_TB,30979,0.11526083349145934
TB,OTHER,64905,0.24148631000881784
TB,TWIN,0,0.0
TB,OMEGA_TWIN,0,0.0
OMEGA_TB,BCC,30213,0.2453329652215573
OMEGA_TB,FCC_like,2416,0.01961819230050913
OMEGA_TB,OMEGA,6634,0.053868827699328464
OMEGA_TB,TB,28378,0.23043255840391064
OMEGA_TB,OMEGA_TB,35224,0.28602284999715794
OMEGA_TB,OTHER,20286,0.16472460637753653
OMEGA_TB,TWIN,0,0.0
OMEGA_TB,OMEGA_TWIN,0,0.0
OTHER,BCC,288633,0.4277425894585214
OTHER,FCC_like,123803,0.18347110622393603
OTHER,OMEGA,12268,0.018180686503196587
OTHER,TB,66969,0.09924538591722956
OTHER,OMEGA_TB,23142,0.034295520627402626
OTHER,OTHER,159967,0.23706471126971376
OTHER,TWIN,0,0.0
OTHER,OMEGA_TWIN,0,0.0
TWIN,BCC,0,0.0
TWIN,FCC_like,0,0.0
TWIN,OMEGA,0,0.0
TWIN,TB,0,0.0
TWIN,OMEGA_TB,0,0.0
TWIN,OTHER,0,0.0
TWIN,TWIN,0,0.0
TWIN,OMEGA_TWIN,0,0.0
OMEGA_TWIN,BCC,0,0.0
OMEGA_TWIN,FCC_like,0,0.0
OMEGA_TWIN,OMEGA,0,0.0
OMEGA_TWIN,TB,0,0.0
OMEGA_TWIN,OMEGA_TB,0,0.0
OMEGA_TWIN,OTHER,0,0.0
OMEGA_TWIN,TWIN,0,0.0
OMEGA_TWIN,OMEGA_TWIN,0,0.0
